product_id,name,category,calories,protein_g,carbs_g,fiber_g,fat_g,sugar_g,sodium_mg,sat_fat_g,has_high_fructose_corn_syrup,has_hydrogenated_oils,has_artificial_sweeteners,has_artificial_colors,has_healthy_evoo_oil,health_score,nutriscore_grade
PROD_00001,Dairy Product #1,Dairy & Cheese,334.9,9.5,14.5,0.0,20.3,8.2,101.0,9.8,0,0,0,0,0,5.33,C
PROD_00002,Prepared Meal #2,Fast Food & Prepared Meals,350.5,37.8,72.0,4.3,14.3,4.4,1158.4,9.6,1,0,0,1,1,3.14,E
PROD_00003,Processed Snack #3,Processed Snacks & Sweets,333.9,5.9,51.0,2.6,23.0,26.9,158.6,11.5,0,1,1,1,0,1.0,E
PROD_00004,Condiment #4,Condiments & Sauces,20.7,1.8,10.5,1.0,5.6,10.5,856.1,0.6,0,0,0,0,0,1.61,E
PROD_00005,Condiment #5,Condiments & Sauces,109.1,1.0,33.7,1.3,13.5,15.6,904.1,2.9,0,0,0,1,1,1.0,E
PROD_00006,Condiment #6,Condiments & Sauces,15.9,1.6,25.3,1.1,13.9,3.0,630.2,0.3,0,0,0,1,0,1.52,E
PROD_00007,Condiment #7,Condiments & Sauces,124.9,1.2,11.1,0.8,6.9,11.1,1218.7,2.2,1,0,1,0,1,1.0,E
PROD_00008,Dairy Product #8,Dairy & Cheese,232.1,16.7,13.1,0.0,7.0,10.5,369.3,5.5,0,0,0,0,0,5.4,C
PROD_00009,Lean Protein #9,Lean Proteins & Poultry,197.4,27.4,0.5,0.5,3.8,0.5,403.3,1.5,0,0,0,0,1,7.95,B
PROD_00010,Fresh Produce Item #10,Whole Foods & Produce,46.7,2.0,21.4,7.2,0.1,8.6,23.8,0.1,0,0,0,0,0,4.41,D
PROD_00011,Condiment #11,Condiments & Sauces,170.6,0.6,19.1,1.1,6.5,19.1,1354.9,0.8,1,0,0,1,0,1.0,E
PROD_00012,Grain/Legume #12,Whole Grains & Legumes,205.9,13.6,52.2,10.8,2.8,3.0,120.6,0.3,0,0,0,0,0,8.0,A
PROD_00013,Fresh Produce Item #13,Whole Foods & Produce,94.2,1.8,17.6,5.8,1.1,3.2,42.6,0.2,0,0,0,0,0,6.03,C
PROD_00014,Beverage Item #14,Beverages & Drinks,4.0,1.0,13.6,0.3,0.2,13.6,52.5,0.0,0,0,1,1,0,1.0,E
PROD_00015,Superfood Oil/Nut #15,Superfoods & Healthy Oils,153.5,5.3,5.6,1.1,13.1,2.0,25.8,1.8,0,0,0,0,1,6.35,C
PROD_00016,Dairy Product #16,Dairy & Cheese,188.5,12.6,13.6,0.0,29.0,13.6,515.7,12.9,1,0,0,0,0,3.85,D
PROD_00017,Beverage Item #17,Beverages & Drinks,139.4,0.7,56.4,0.5,0.3,16.8,63.4,0.0,1,0,0,1,0,1.0,E
PROD_00018,Beverage Item #18,Beverages & Drinks,88.0,1.5,43.3,0.2,0.5,28.0,80.0,0.0,1,0,0,0,0,1.0,E
PROD_00019,Processed Snack #19,Processed Snacks & Sweets,512.2,4.2,65.8,1.8,20.7,28.3,276.9,9.4,1,1,0,1,0,1.0,E
PROD_00020,Superfood Oil/Nut #20,Superfoods & Healthy Oils,272.5,3.6,4.4,2.9,27.6,0.2,15.3,1.6,0,0,0,0,1,5.25,C
PROD_00021,Fresh Produce Item #21,Whole Foods & Produce,55.1,1.1,16.1,7.6,1.4,9.4,9.4,0.3,0,0,0,0,0,4.52,D
PROD_00022,Lean Protein #22,Lean Proteins & Poultry,155.2,41.2,0.7,0.7,7.3,0.6,217.9,1.3,0,0,0,0,0,8.6,A
PROD_00023,Nutrition Shake/Supplement #23,Dietary Supplements & Shakes,101.1,33.8,7.3,1.5,4.5,1.1,316.0,0.6,0,0,0,0,0,7.88,B
PROD_00024,Prepared Meal #24,Fast Food & Prepared Meals,704.5,12.8,37.2,5.2,28.8,6.3,1155.0,14.8,1,0,0,1,1,1.04,E
PROD_00025,Beverage Item #25,Beverages & Drinks,98.7,1.4,8.3,0.1,1.0,8.3,14.5,0.0,1,0,0,0,0,3.24,E
PROD_00026,Dairy Product #26,Dairy & Cheese,217.1,19.1,2.9,0.0,29.5,2.9,186.3,3.6,0,0,0,0,0,6.8,B
PROD_00027,Dairy Product #27,Dairy & Cheese,290.3,14.3,13.7,0.0,4.4,9.9,136.8,4.0,0,0,1,1,0,3.24,E
PROD_00028,Beverage Item #28,Beverages & Drinks,41.6,0.9,23.9,0.3,0.6,2.5,51.2,0.0,0,0,0,0,0,2.71,E
PROD_00029,Grain/Legume #29,Whole Grains & Legumes,280.5,13.4,62.8,15.4,4.5,3.4,161.2,0.7,0,0,0,0,0,7.08,B
PROD_00030,Grain/Legume #30,Whole Grains & Legumes,267.7,15.8,51.1,7.3,2.1,1.5,78.6,0.2,0,0,0,0,0,6.91,B
PROD_00031,Dairy Product #31,Dairy & Cheese,102.8,12.1,15.5,0.0,3.7,13.4,211.9,3.7,0,0,0,0,0,6.58,B
PROD_00032,Superfood Oil/Nut #32,Superfoods & Healthy Oils,207.7,4.4,4.5,2.9,23.2,0.3,12.5,2.7,0,0,0,0,1,5.22,C
PROD_00033,Dairy Product #33,Dairy & Cheese,377.8,22.3,8.9,0.0,24.8,8.9,102.9,17.3,0,0,0,0,0,5.42,C
PROD_00034,Superfood Oil/Nut #34,Superfoods & Healthy Oils,255.5,3.8,7.7,3.4,18.7,1.0,4.2,1.3,0,0,0,0,1,5.3,C
PROD_00035,Superfood Oil/Nut #35,Superfoods & Healthy Oils,208.6,2.7,7.6,3.9,12.0,1.9,48.7,4.0,0,0,0,0,1,6.63,B
PROD_00036,Superfood Oil/Nut #36,Superfoods & Healthy Oils,241.8,5.9,0.8,0.4,22.6,0.1,41.1,3.1,0,0,0,0,1,5.14,C
PROD_00037,Grain/Legume #37,Whole Grains & Legumes,242.9,8.8,48.3,14.5,4.5,1.6,182.0,0.7,0,0,0,0,0,6.94,B
PROD_00038,Prepared Meal #38,Fast Food & Prepared Meals,773.1,18.5,54.8,3.5,24.4,11.3,1221.5,14.4,0,0,0,0,0,4.85,D
PROD_00039,Superfood Oil/Nut #39,Superfoods & Healthy Oils,180.0,3.3,6.9,1.1,27.3,0.0,48.5,1.1,0,0,0,0,1,5.02,C
PROD_00040,Grain/Legume #40,Whole Grains & Legumes,185.7,14.3,28.0,6.8,1.9,1.8,199.2,0.8,0,0,0,0,0,9.34,A
PROD_00041,Dairy Product #41,Dairy & Cheese,94.5,11.3,17.2,0.0,28.8,8.4,418.3,6.7,0,0,0,0,0,5.73,C
PROD_00042,Superfood Oil/Nut #42,Superfoods & Healthy Oils,161.6,4.6,0.3,0.3,17.4,0.3,13.5,1.4,0,0,0,0,1,6.05,C
PROD_00043,Processed Snack #43,Processed Snacks & Sweets,487.9,5.7,62.7,2.0,17.2,42.8,712.9,2.9,1,1,0,0,0,2.1,E
PROD_00044,Superfood Oil/Nut #44,Superfoods & Healthy Oils,275.2,7.7,6.7,2.3,17.5,0.5,2.8,3.6,0,0,0,0,1,5.62,C
PROD_00045,Fresh Produce Item #45,Whole Foods & Produce,75.8,3.1,23.3,5.5,1.5,11.8,22.0,0.1,0,0,0,0,0,4.2,D
PROD_00046,Beverage Item #46,Beverages & Drinks,54.9,1.3,37.1,0.2,0.1,36.9,67.2,0.0,0,0,0,0,0,1.0,E
PROD_00047,Prepared Meal #47,Fast Food & Prepared Meals,930.8,14.3,82.5,4.2,33.7,11.6,1509.3,13.0,0,0,0,0,0,4.76,D
PROD_00048,Processed Snack #48,Processed Snacks & Sweets,516.5,2.7,53.1,2.5,16.7,32.5,710.5,11.5,1,0,0,1,0,1.75,E
PROD_00049,Condiment #49,Condiments & Sauces,22.6,1.2,13.5,0.3,10.4,10.2,844.7,1.4,0,0,0,1,0,2.35,E
PROD_00050,Lean Protein #50,Lean Proteins & Poultry,194.3,25.6,4.1,0.3,5.2,0.1,269.5,2.1,0,0,0,0,0,8.42,A
PROD_00051,Lean Protein #51,Lean Proteins & Poultry,128.0,28.3,1.6,0.1,6.6,1.4,254.7,1.0,0,0,0,0,0,9.06,A
PROD_00052,Beverage Item #52,Beverages & Drinks,50.2,0.7,29.1,0.3,0.4,25.4,92.2,0.0,1,0,1,0,0,1.0,E
PROD_00053,Dairy Product #53,Dairy & Cheese,243.7,16.1,3.7,0.0,16.0,3.7,187.9,6.6,0,0,1,0,0,4.57,D
PROD_00054,Superfood Oil/Nut #54,Superfoods & Healthy Oils,262.5,5.7,5.4,3.9,19.0,0.2,26.9,2.8,0,0,0,0,1,5.62,C
PROD_00055,Condiment #55,Condiments & Sauces,111.8,1.1,14.5,0.5,16.2,14.5,493.2,1.5,1,0,1,1,0,1.0,E
PROD_00056,Condiment #56,Condiments & Sauces,163.0,0.2,19.3,0.6,17.7,4.0,677.4,2.9,0,0,0,1,0,1.99,E
PROD_00057,Superfood Oil/Nut #57,Superfoods & Healthy Oils,235.0,5.3,3.8,3.8,13.7,1.9,35.5,1.6,0,0,0,0,1,6.08,C
PROD_00058,Fresh Produce Item #58,Whole Foods & Produce,83.0,1.5,16.6,2.9,1.0,8.9,7.3,0.2,0,0,0,0,0,5.1,C
PROD_00059,Dairy Product #59,Dairy & Cheese,255.7,9.8,13.0,0.0,5.5,3.9,41.7,4.0,0,0,0,0,0,5.8,C
PROD_00060,Grain/Legume #60,Whole Grains & Legumes,290.8,17.3,32.2,5.7,4.0,3.1,169.2,0.3,0,0,0,0,0,8.53,A
PROD_00061,Processed Snack #61,Processed Snacks & Sweets,257.5,5.1,59.9,1.8,15.9,40.9,405.1,10.3,1,1,0,1,0,1.0,E
PROD_00062,Superfood Oil/Nut #62,Superfoods & Healthy Oils,176.9,4.1,4.3,0.3,14.1,1.1,21.6,2.0,0,0,0,0,1,5.59,C
PROD_00063,Processed Snack #63,Processed Snacks & Sweets,317.2,1.7,65.7,2.1,19.7,41.5,662.6,3.9,1,1,0,1,0,1.0,E
PROD_00064,Nutrition Shake/Supplement #64,Dietary Supplements & Shakes,175.3,39.6,5.4,5.4,2.5,5.1,289.2,0.8,0,0,0,0,0,10.0,A
PROD_00065,Processed Snack #65,Processed Snacks & Sweets,442.9,3.7,41.3,1.4,12.0,41.3,529.2,6.3,0,0,0,1,0,4.36,D
PROD_00066,Condiment #66,Condiments & Sauces,158.9,1.9,20.6,1.0,16.6,20.1,383.0,1.7,0,0,0,0,0,4.25,D
PROD_00067,Dairy Product #67,Dairy & Cheese,119.3,10.5,4.6,0.0,8.4,4.6,242.6,7.3,0,0,0,0,0,4.42,D
PROD_00068,Superfood Oil/Nut #68,Superfoods & Healthy Oils,120.7,3.7,3.2,2.7,26.6,0.7,17.3,3.2,0,0,0,0,1,5.23,C
PROD_00069,Fresh Produce Item #69,Whole Foods & Produce,80.8,0.6,23.3,3.5,1.2,4.2,6.5,0.2,0,0,0,0,0,4.68,D
PROD_00070,Lean Protein #70,Lean Proteins & Poultry,202.9,24.5,4.8,0.1,5.9,0.2,448.7,2.0,0,0,0,0,0,7.45,B
PROD_00071,Dairy Product #71,Dairy & Cheese,216.6,21.2,7.6,0.0,16.6,7.6,270.4,16.2,0,0,0,0,0,6.35,C
PROD_00072,Fresh Produce Item #72,Whole Foods & Produce,63.1,2.5,8.1,3.1,1.7,8.1,21.8,0.1,0,0,0,0,0,7.18,B
PROD_00073,Fresh Produce Item #73,Whole Foods & Produce,27.4,1.0,19.3,6.0,0.2,4.9,15.4,0.2,0,0,0,0,1,5.03,C
PROD_00074,Processed Snack #74,Processed Snacks & Sweets,510.6,3.8,62.4,2.5,29.8,31.9,674.5,11.6,0,1,0,1,0,1.25,E
PROD_00075,Lean Protein #75,Lean Proteins & Poultry,111.8,22.1,1.0,0.0,3.4,1.0,218.6,3.2,0,0,0,0,0,7.07,B
PROD_00076,Lean Protein #76,Lean Proteins & Poultry,160.8,20.9,4.2,0.3,9.6,0.7,394.4,1.2,0,0,0,0,0,7.41,B
PROD_00077,Condiment #77,Condiments & Sauces,33.8,1.1,34.5,0.7,3.3,14.1,814.9,2.2,0,0,0,0,0,1.39,E
PROD_00078,Prepared Meal #78,Fast Food & Prepared Meals,898.6,15.1,69.6,2.7,36.7,15.7,1570.2,6.9,1,1,0,0,0,1.6,E
PROD_00079,Condiment #79,Condiments & Sauces,56.4,1.3,18.3,0.9,15.1,11.9,1125.1,1.3,1,0,0,1,0,1.0,E
PROD_00080,Dairy Product #80,Dairy & Cheese,275.3,24.0,8.3,0.0,30.7,3.9,335.1,6.6,0,0,0,0,0,6.96,B
PROD_00081,Fresh Produce Item #81,Whole Foods & Produce,72.2,2.6,11.7,6.6,0.3,3.0,37.8,0.2,0,0,0,0,0,7.45,B
PROD_00082,Processed Snack #82,Processed Snacks & Sweets,227.2,1.0,73.5,0.5,10.3,22.4,674.8,10.3,0,0,0,1,0,1.0,E
PROD_00083,Condiment #83,Condiments & Sauces,140.1,1.3,27.0,1.1,11.5,27.0,1284.0,1.9,0,1,0,1,0,1.0,E
PROD_00084,Grain/Legume #84,Whole Grains & Legumes,290.8,8.3,29.6,9.6,4.2,3.9,15.7,0.6,0,0,0,0,0,7.9,B
PROD_00085,Dairy Product #85,Dairy & Cheese,91.8,17.3,5.7,0.0,6.5,3.1,464.7,6.5,0,0,1,0,0,4.51,D
PROD_00086,Superfood Oil/Nut #86,Superfoods & Healthy Oils,238.1,5.2,3.4,3.4,17.5,0.9,49.5,1.0,0,0,0,0,1,5.07,C
PROD_00087,Lean Protein #87,Lean Proteins & Poultry,241.5,40.0,5.0,0.4,9.6,0.8,242.0,2.4,0,0,0,0,0,8.41,A
PROD_00088,Grain/Legume #88,Whole Grains & Legumes,291.1,6.0,43.7,8.3,4.4,3.7,119.9,0.4,0,0,0,0,0,5.38,C
PROD_00089,Superfood Oil/Nut #89,Superfoods & Healthy Oils,137.5,4.1,1.0,1.0,24.4,0.5,29.4,3.9,0,0,0,0,1,5.09,C
PROD_00090,Lean Protein #90,Lean Proteins & Poultry,133.4,44.8,1.2,0.9,8.3,1.2,255.1,1.2,0,0,0,0,1,9.32,A
PROD_00091,Nutrition Shake/Supplement #91,Dietary Supplements & Shakes,108.1,43.7,21.2,6.6,6.2,3.0,205.5,1.7,0,0,1,0,0,8.56,A
PROD_00092,Processed Snack #92,Processed Snacks & Sweets,485.5,2.1,40.1,1.8,21.0,31.1,209.5,10.8,1,1,0,0,0,1.3,E
PROD_00093,Nutrition Shake/Supplement #93,Dietary Supplements & Shakes,278.1,34.7,15.1,1.6,4.6,4.8,127.9,1.9,0,0,1,1,0,5.32,C
PROD_00094,Fresh Produce Item #94,Whole Foods & Produce,30.8,3.6,15.3,7.4,1.2,10.6,29.5,0.4,0,0,0,0,0,6.58,B
PROD_00095,Condiment #95,Condiments & Sauces,146.6,1.3,30.1,1.3,12.8,23.6,1037.0,2.0,0,0,0,0,0,1.87,E
PROD_00096,Dairy Product #96,Dairy & Cheese,131.4,21.5,15.3,0.0,17.7,2.1,215.1,12.5,0,0,0,0,0,5.21,C
PROD_00097,Condiment #97,Condiments & Sauces,150.1,0.3,11.4,0.0,7.8,11.4,670.6,0.5,0,0,0,0,0,3.67,D
PROD_00098,Fresh Produce Item #98,Whole Foods & Produce,80.3,1.7,17.4,2.3,1.8,14.7,48.6,0.4,0,0,0,0,0,2.29,E
PROD_00099,Dairy Product #99,Dairy & Cheese,101.0,21.6,7.9,0.0,26.7,5.5,40.6,4.7,0,0,0,1,0,5.53,C
PROD_00100,Beverage Item #100,Beverages & Drinks,201.6,1.5,13.8,0.1,0.9,13.8,13.4,0.0,0,0,0,0,0,5.41,C
PROD_00101,Beverage Item #101,Beverages & Drinks,95.4,0.5,59.0,0.2,0.9,12.6,33.4,0.0,1,0,0,1,0,1.0,E
PROD_00102,Condiment #102,Condiments & Sauces,41.3,0.4,5.0,0.2,8.2,5.0,221.4,2.4,1,0,0,1,0,1.0,E
PROD_00103,Dairy Product #103,Dairy & Cheese,120.1,19.0,8.9,0.0,8.8,8.9,79.2,8.8,0,0,0,0,0,5.4,C
PROD_00104,Lean Protein #104,Lean Proteins & Poultry,205.3,29.9,4.9,0.7,8.4,1.5,431.1,3.2,0,0,0,0,0,7.69,B
PROD_00105,Processed Snack #105,Processed Snacks & Sweets,236.7,2.2,74.4,0.9,19.0,32.4,606.6,7.8,1,1,0,1,0,1.0,E
PROD_00106,Beverage Item #106,Beverages & Drinks,85.9,0.6,58.6,0.1,0.7,45.2,14.5,0.0,0,0,0,1,0,1.0,E
PROD_00107,Prepared Meal #107,Fast Food & Prepared Meals,706.9,28.0,71.8,2.8,52.3,21.1,1294.2,15.0,0,0,0,0,0,5.67,C
PROD_00108,Processed Snack #108,Processed Snacks & Sweets,214.3,1.8,49.7,2.3,21.1,33.5,461.5,8.3,1,0,0,0,0,3.66,D
PROD_00109,Grain/Legume #109,Whole Grains & Legumes,274.9,12.0,47.2,12.9,1.9,5.0,195.1,0.7,0,0,0,0,0,7.82,B
PROD_00110,Fresh Produce Item #110,Whole Foods & Produce,104.8,1.1,24.2,4.5,1.7,10.2,38.1,0.4,0,0,0,0,0,5.07,C
PROD_00111,Lean Protein #111,Lean Proteins & Poultry,231.4,34.5,2.2,0.7,6.6,1.7,410.3,1.8,0,0,0,0,0,7.98,B
PROD_00112,Processed Snack #112,Processed Snacks & Sweets,418.0,4.2,63.0,0.8,23.7,42.0,266.8,4.8,0,1,0,1,0,1.0,E
PROD_00113,Prepared Meal #113,Fast Food & Prepared Meals,872.4,23.6,65.9,3.1,38.3,6.9,978.0,17.6,0,0,0,0,0,5.46,C
PROD_00114,Processed Snack #114,Processed Snacks & Sweets,354.7,2.7,50.2,2.2,11.2,26.8,532.1,11.2,1,1,0,0,0,1.0,E
PROD_00115,Grain/Legume #115,Whole Grains & Legumes,247.4,15.4,53.2,9.9,4.5,3.0,110.3,0.2,0,0,0,0,0,7.89,B
PROD_00116,Nutrition Shake/Supplement #116,Dietary Supplements & Shakes,108.7,18.7,12.9,7.5,3.9,6.3,62.5,0.8,0,0,0,1,0,8.84,A
PROD_00117,Lean Protein #117,Lean Proteins & Poultry,155.2,44.3,2.9,0.3,7.0,0.7,262.9,0.9,0,0,0,0,1,8.74,A
PROD_00118,Grain/Legume #118,Whole Grains & Legumes,150.7,14.1,42.8,14.5,1.7,3.6,168.4,1.0,0,0,0,0,0,8.18,A
PROD_00119,Lean Protein #119,Lean Proteins & Poultry,144.2,40.8,4.3,0.8,2.7,1.6,417.5,2.3,0,0,0,0,0,8.38,A
PROD_00120,Superfood Oil/Nut #120,Superfoods & Healthy Oils,137.1,6.3,8.0,0.2,27.6,0.8,43.5,3.3,0,0,0,0,1,5.35,C
PROD_00121,Superfood Oil/Nut #121,Superfoods & Healthy Oils,137.5,6.2,6.1,4.6,17.9,1.8,43.9,2.0,0,0,0,0,1,6.89,B
PROD_00122,Prepared Meal #122,Fast Food & Prepared Meals,739.4,20.5,72.8,4.2,37.1,10.8,1190.5,12.4,0,0,0,1,0,4.03,D
PROD_00123,Condiment #123,Condiments & Sauces,125.3,1.2,17.3,0.6,15.5,15.0,775.0,0.1,1,0,0,0,0,2.48,E
PROD_00124,Prepared Meal #124,Fast Food & Prepared Meals,798.1,30.6,66.3,5.2,31.7,20.1,546.2,17.4,0,0,0,1,0,4.7,D
PROD_00125,Processed Snack #125,Processed Snacks & Sweets,235.5,3.4,41.6,1.2,14.8,38.5,500.5,5.5,0,0,0,1,0,1.0,E
PROD_00126,Nutrition Shake/Supplement #126,Dietary Supplements & Shakes,276.0,20.5,9.5,6.6,2.9,9.5,177.4,0.7,0,0,1,0,0,6.44,C
PROD_00127,Dairy Product #127,Dairy & Cheese,284.2,15.8,11.5,0.0,26.0,11.1,146.6,8.1,0,0,0,0,0,5.0,C
PROD_00128,Condiment #128,Condiments & Sauces,150.7,0.8,24.0,0.1,11.2,13.2,903.9,0.5,0,0,0,1,1,1.63,E
PROD_00129,Processed Snack #129,Processed Snacks & Sweets,412.5,3.7,40.4,1.5,21.1,28.4,792.1,3.8,0,0,0,0,0,4.4,D
PROD_00130,Dairy Product #130,Dairy & Cheese,327.2,11.0,12.3,0.0,20.3,7.6,263.8,7.8,0,0,0,0,0,5.87,C
PROD_00131,Grain/Legume #131,Whole Grains & Legumes,145.4,13.7,35.8,11.5,3.7,1.5,94.1,0.4,0,0,0,0,1,7.48,B
PROD_00132,Processed Snack #132,Processed Snacks & Sweets,455.7,3.3,32.7,1.9,29.1,17.8,598.5,4.4,0,1,0,0,0,3.03,E
PROD_00133,Fresh Produce Item #133,Whole Foods & Produce,53.6,3.9,14.5,4.3,0.3,14.5,5.9,0.3,0,0,0,0,0,6.77,B
PROD_00134,Beverage Item #134,Beverages & Drinks,149.7,0.2,45.3,0.1,0.8,43.0,88.0,0.0,1,0,1,1,0,1.0,E
PROD_00135,Lean Protein #135,Lean Proteins & Poultry,163.3,28.7,1.2,0.5,10.2,0.6,427.0,3.1,0,0,0,0,1,7.83,B
PROD_00136,Grain/Legume #136,Whole Grains & Legumes,216.0,12.0,40.9,10.9,3.5,3.5,108.8,0.8,0,0,0,0,1,8.49,A
PROD_00137,Dairy Product #137,Dairy & Cheese,177.5,7.5,8.4,0.0,8.0,8.4,251.1,8.0,0,0,0,1,0,3.86,D
PROD_00138,Prepared Meal #138,Fast Food & Prepared Meals,847.6,20.3,92.2,5.2,41.3,6.2,1095.6,11.1,1,1,0,0,0,1.89,E
PROD_00139,Beverage Item #139,Beverages & Drinks,105.5,0.2,38.4,0.1,0.6,35.8,26.7,0.0,1,0,0,1,0,1.0,E
PROD_00140,Superfood Oil/Nut #140,Superfoods & Healthy Oils,188.9,2.4,0.6,0.6,14.8,0.4,34.6,2.9,0,0,0,0,1,4.88,D
PROD_00141,Beverage Item #141,Beverages & Drinks,239.2,1.6,36.9,0.2,0.6,29.0,56.9,0.0,1,0,0,1,0,1.0,E
PROD_00142,Prepared Meal #142,Fast Food & Prepared Meals,846.5,31.1,81.2,1.5,31.1,12.7,475.9,7.6,0,1,0,0,0,4.09,D
PROD_00143,Grain/Legume #143,Whole Grains & Legumes,313.5,13.6,33.0,5.7,1.2,2.2,56.8,0.7,0,0,0,0,0,6.76,B
PROD_00144,Beverage Item #144,Beverages & Drinks,207.5,0.5,39.1,0.4,0.6,39.1,53.2,0.0,0,0,1,1,0,1.0,E
